filename,width,height,class,xmin,ymin,xmax,ymax
_1583581953526_jpg.rf.fdc61c2d7ee2a96a498c073d418e7e62.jpg,640,640,darkcircle,607,185,640,210
_1583581953526_jpg.rf.fdc61c2d7ee2a96a498c073d418e7e62.jpg,640,640,darkcircle,498,179,544,196
_1583581953526_jpg.rf.fdc61c2d7ee2a96a498c073d418e7e62.jpg,640,640,darkcircle,256,426,345,490
_1583581953526_jpg.rf.fdc61c2d7ee2a96a498c073d418e7e62.jpg,640,640,darkcircle,59,417,168,450
_1583581953526_jpg.rf.fdc61c2d7ee2a96a498c073d418e7e62.jpg,640,640,spots,418,443,448,467
_1583678693034_jpg.rf.ff91e2e1013a3482510649c69d74e8d9.jpg,640,640,Eyebag,274,181,310,194
_1583678693034_jpg.rf.ff91e2e1013a3482510649c69d74e8d9.jpg,640,640,Eyebag,365,161,403,172
_1583678693034_jpg.rf.ff91e2e1013a3482510649c69d74e8d9.jpg,640,640,Eyebag,79,606,134,640
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,darkcircle,0,54,82,119
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,darkcircle,150,14,247,58
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,Wrinkle,488,151,552,177
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,Wrinkle,514,219,546,265
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,Wrinkle,488,177,526,214
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,Wrinkle,427,242,455,297
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,Wrinkle,379,67,493,119
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,Eyebag,127,412,244,462
_1573728497396_jpg.rf.fe6bfd762aba0f8513b86167a604d69e.jpg,640,640,spots,585,459,640,531
_1563785642899_jpg.rf.fe5aa1e939bb76a83796854b6ba508ea.jpg,640,640,darkcircle,0,100,64,125
_1563785642899_jpg.rf.fe5aa1e939bb76a83796854b6ba508ea.jpg,640,640,darkcircle,345,314,390,327
